carrier,carrier_name,rate_version,source,area,area_label,age_band,age_min,age_max,product_code,product_name,annual_premium,source_value_raw,currency
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",50-54,50,54,premium,Morgan Price Premium,6868.77,6868.768757517416,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",50-54,50,54,elite,Morgan Price Elite,9368.61,9368.606063311116,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",55-59,55,59,standard,Morgan Price Standard,4305.54,4305.539066967151,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",55-59,55,59,standard_plus,Morgan Price Standard Plus,5014.82,5014.818214991391,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",55-59,55,59,comprehensive,Morgan Price Comprehensive,7529.47,7529.472305349259,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",55-59,55,59,premium,Morgan Price Premium,9986.3,9986.29740991951,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",55-59,55,59,elite,Morgan Price Elite,13671.54,13671.535066774892,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",60-64,60,64,standard,Morgan Price Standard,5098.07,5098.074753533987,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",60-64,60,64,standard_plus,Morgan Price Standard Plus,5937.24,5937.240084638266,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",60-64,60,64,comprehensive,Morgan Price Comprehensive,9803.69,9803.686448332815,EUR
